Protein	q_value	Difference
BAZ1B	0	-1.346275171
BCL7A	0.979106234	0.012005329
BCL9L	0.189610311	0.510075569
BCOR	0.220861494	-0.580829144
BDH1	0.358022444	0.195433458
BLM	0.890543779	-0.046570937
BLVRB	0.523658746	-0.045478
BMP2K	0.038044444	-1.020742416
BMS1	0.110261603	-0.366525332
BOP1	0.099423176	-0.287350019
BRCA1	0.212358519	-0.833824317
BRD3	0.008958801	-1.689439297
BRD7	0.373211146	-0.462713083
BRD8	0.703979716	-0.13406833
BRD9	0.272417462	-0.788089593
BTF3	0.037858385	-1.55293115
BUD13	0.384944513	0.244183381
BYSL	0.66238179	-0.074995995
C11orf98	0.448283871	0.609556834
C12orf57	0.786496803	-0.120694796
C18orf21	0.038099256	-0.53325812
C19orf53	0.040410628	-0.936750889
C2CD2L	0.099508591	-0.25652345
C6orf132	0.032334661	-1.144411405
C7orf26	0.004096	-0.460087617
C8orf33	0.036518239	-0.851925214
CAAP1	0.803338157	-0.085234165
CAD	0.56190372	-0.136030992
CALM3	0.04901978	0.593894641
CAMSAP2	0.009197183	-0.364225229
CAMSAP3	0.128169935	-0.620204926
CAND1	0.055991641	-0.773989201
CASK	0.015709369	-0.745842616
CASZ1	0.351174323	-0.617200851
CBLL1	0.022880795	-0.655170441
CBX4	0.337175573	-0.506013076
CBX8	0.027250755	-0.649645011
CCAR1	0.031477551	-0.552633921
CCDC124	0.015312	-1.660556793
CCDC137	0.231361032	0.181695302
CCDC47	0.023451876	-0.56721735
CCDC50	0.046323164	-0.628908793
CCDC59	0.21575	0.544100602
CCDC86	0.887291186	0.076487223
CCNC	0.159867925	-0.849984328
CCNK	0.081460201	-0.745481173
CCNL1	0.011549738	-1.343108177
CCNT1	0.789852467	0.079525312
CCT4	0.046045558	0.305300395
CCT6A	0.09526068	0.307586511
CCT8	0.715244444	0.064789613
CD3EAP	0.005382199	-0.936829726
CD55	0.078572227	-0.582110087
CD58	0.791992222	0.212023894
CD59	0.140741214	-0.28766489
CDC16	0.077332086	-0.503705502
CDC27	0.046220204	-0.740151723
CDC42	0.027314286	-0.882705371
CDC42BPB	0.004521739	-1.060914358
CDK11A	0.171470178	-0.425561269
CDK12	0.014686071	-0.858946482
CDK13	0.012133017	-0.531310399
CDK2AP1	0.447217851	-0.380135218
CDK5RAP3	0.281331533	-0.603832722
CDK7	0.177897002	-0.744598707
CEACAM5	0.016543762	-0.807958285
CEBPZ	0.105290213	-0.355613708
CELSR1	0.184	-0.394655546
CEP131	0.434329982	-0.166505337
CEP164	0.028334802	-0.340929031
CEP170B	0.227942529	-0.485723972
CEP83	0.790390985	-0.084297498
CEPT1	0.346442902	-0.666350365
CERS2	0.255919388	0.281665802
CETN2	0.333180077	0.366750717
CFAP20	0.589643777	-0.097918828
CHD1	0.01954386	-0.480771859
CHD2	0.082330909	-0.692434788
CHD6	0.041107399	-0.367657979
CHD7	0.63168084	0.20217514
CHD8	0.006619469	-0.494960308
CHP1	0.641638454	-0.270567894
CHTOP	0.329762972	0.408187707
CIRBP	0.004333333	-1.244130294
CIT	0.262096154	-0.282413165
CKAP2	0.44708216	-0.287554741
CKAP5	0.007967742	-0.740885099
CLASP1	0.100575342	-1.114609559
CLASP2	0.284761394	-0.311852296
CLDN3	0.008337553	-0.563920816
CLIC1	0.406986052	-0.26363039
CLK3	0.026085627	-1.521549702
CLK4	0.008596078	-0.63396883
CLPB	0.014405229	-1.046961149
CLPTM1L	0.301677419	0.357929389
CNBP	0.003789474	-2.34213082
CNOT10	0.014596026	-0.646941344
CNOT11	0.006738739	-0.922822793
CNOT2	0.027650888	-0.693562984
CNOT3	0.039552311	-0.6556077
CNOT6	0.00388785	-1.319490115
CNOT6L	0.011489362	-1.25554657
CNOT7	0.130463533	-0.376605511
CNOT8	0.25779654	-0.680902481
CNOT9	0.012344304	-0.699722608
CNP	0.843217719	0.031260331
COL18A1	0.009014493	-0.910594781
COPG2	0.038307503	-0.843231042
COPZ1	0.994314597	0.003948689
CORO1C	0.357878977	-0.465108395
COX16	0.562397814	0.265079339
COX4I1	0.012275862	-1.143299421
COX5B	0.045588032	-0.883930047
CPSF2	0.084862816	-0.360283852
CPSF4	0.151525316	0.289344947
CPSF6	0.060929006	-0.61069266
CREB3L4	0.80298744	0.120199998
CROCC	0.014405063	-0.706378142
CRTC1	0.422312388	0.404397011
CRYBG1	0.056650104	-0.433828672
CSB-PGBD3	0.22220202	-0.794844151
CSNK1A1	0.032276964	-0.466555436
CSNK1G2	0.169351981	-0.459356308
CSNK2A1	0.047176863	-0.459014257
CSNK2A2	0.803590734	-0.098263423
CSTF2T	0.254698746	-0.36154896
CSTF3	0.026277017	-1.125998815
CTBP2	0.014280778	-0.66301918
CTCF	0.176227868	-0.255174001
CTNNA2	0.821839542	0.213613192
CTNNBL1	0.070885057	-0.756154696
CTNND2	0.069468599	-0.367583593
CTR9	0.167778125	-0.864156564
CTTNBP2NL	0.024025559	-1.582715988
CUEDC1	0.047730387	-1.272871971
CUSTOS	0.664580279	0.159494559
CWC27	0.122064516	-0.499870936
CXXC4	0.054989518	0.669645309
CXXC5	0.464475914	-0.268604279
CYC1	0.455523364	-0.228342215
CYFIP1	0.011519582	-0.83112065
CYTH1	0.104354646	-0.24056673
DAAM1	0.09935904	-0.818026861
DAXX	0.817819923	-0.164429506
DBNL	0.014158458	-1.803154469
DCAF7	0.543791459	-0.117145538
DDRGK1	0.912238182	0.042192777
DDX10	0.602686599	-0.150023937
DDX20	0.474753456	0.195753256
DDX27	0.261658872	-0.200743357
DDX28	0.268098563	0.299972375
DDX31	0.942818876	0.024033229
DDX46	0.06972973	-0.300718625
DDX49	0.007549784	-1.453076681
DDX50	0.588886742	-0.119685173
DDX51	0.789723529	0.104910533
DDX52	0.38365679	-0.278646946
DDX55	0.015969639	-0.685397625
DDX56	0.363621891	0.199532986
DDX6	0.009041916	-0.74137942
DECR2	0.019285714	-0.77834336
DENND1A	0.031563438	-0.799659729
DENND2D	0.004589744	-1.239777247
DGAT1	0.081799636	-0.228770892
DGCR8	0.028710983	0.553942521
DHCR24	0.217888726	-0.379978021
DHRS2	0.22019214	0.167708079
DHX29	0.0236928	-2.047112783
DHX30	0.134224013	-0.244385084
DHX33	0.054797468	-0.720808188
DHX40	0.003849624	-1.810114861
DHX57	0.112855939	-0.713837624
DHX8	0.029357746	-0.891376019
DICER1	0.007935743	-0.776351611
DIDO1	0.112229342	-0.374133428
DIMT1	0.440761792	-0.275506337
DLG1	0.014081818	-1.267912229
DLG5	0.32168299	-0.261283398
DMAP1	0.308540823	0.506269932
DNAJB1	0.071147228	-0.469994545
DNAJB12	0.628882817	0.260957082
DNAJC1	0.045640553	-0.59578975
DNAJC16	0.026125574	-1.077773571
DNAJC21	0.003540984	-0.908318679
DNAJC8	0.00288	-1.309898535
DNAJC9	0.865813932	0.056199392
DNASE1L1	0.009047273	-0.53854386
DNMBP	0.094156277	-0.502517064
DNTTIP1	0.540896053	0.126659711
DPY30	0.962936889	-0.01247708
DRG1	0.009644444	-2.171356201
DROSHA	0.053151386	0.354468028
DSG2	0.856797373	-0.085101128
DYRK1A	0.026317073	-0.556198915
E4F1	0.045772675	-0.604717096
ECT2	0.023337662	-0.607833227
EDC3	0.046853303	-0.702267011
EDC4	0.094008795	-0.358273983
EDF1	0.017463063	-1.641201814
EEF1A1P5	0	-0.603461266
EEF1B2	0.00959116	-1.761413733
EEF1G	0.003781818	-1.285300891
EFHD2	0.076301318	0.782197634
EFR3A	0.067776251	-1.040397008
EHMT1	0.835092373	-0.070170879
EHMT2	0.971811537	0.010280132
EIF2A	0.033521345	-1.745443344
EIF2AK2	0.003857143	-2.052648067
EIF2S1	0.002769231	-1.606445789
EIF2S3	0.00432	-2.003088315
EIF3A	0.008267782	-1.07970349
EIF3B	0.008945205	-1.00595204
EIF3C	0.022547899	-1.197226842
EIF3D	0.013495327	-0.753231366
EIF3E	0.020605852	-0.732415517
EIF3F	0.016635036	-0.96130832
EIF3G	0.028391813	-1.004672368
EIF3H	0.004	-1.667859077
EIF3I	0.00645283	-0.923214118
EIF3K	0.022623946	-1.462337494
EIF3L	0.022445946	-1.104883194
EIF3M	0.034509603	-1.09943517
EIF4A1	0.011866667	-0.796251297
EIF4B	0.005218274	-0.956089815
EIF4E	0.008794118	-1.850395679
EIF4ENIF1	0.483802639	-0.378355344
EIF4G1	0.003506849	-1.215517362
EIF4G2	0.014188841	-0.835028172
EIF4G3	0.008761905	-0.901712259
EIF5B	0.005648352	-1.908441544
EIF6	0.79472295	-0.038658142
ELOB	0.274298162	-0.359021028
ELOC	0.071412774	-0.38684384
ELOVL1	0.464933951	-0.229644934
EMC1	0.009537459	-1.457569599
EMG1	0.009132867	-1.350440979
EMSY	0.174234568	-0.346812407
EP400	0.228548457	0.269706885
EPB41	0.534375906	-0.328493436
EPB41L1	0.06312	-0.398096561
EPB41L2	0.436417699	-0.351764043
EPB41L5	0.800629235	0.064408302
EPN1	0.016468007	-0.901555379
EPN2	0.009038062	-1.002858003
EPS15	0.008233333	-0.441964944
EPS8	0.009101045	-1.618120035
ERBIN	0.501535836	-0.218636354
ERCC2	0.026055385	-1.619012038
ERCC3	0	-1.96376435
ERGIC1	0.20555157	-0.551081022
ERLIN1	0.025551777	-1.089049021
ERMP1	0.036332913	-0.575350285
ESF1	0.649732709	-0.146938324
ESR1	0.038091471	0.454611142
ESYT1	0.321684482	-0.283443769
ESYT2	0.790191593	-0.147041162
EXD2	0.0094375	-1.091857751
EXOC2	0.053908802	-0.407996337
EXOSC1	0.066422091	-0.366995653
EXOSC2	0.044315545	-0.387558937
EXOSC3	0.055970803	-0.312932332
EXOSC4	0.091379126	-0.470896085
EXOSC5	0.455605371	-0.386544545
EXOSC7	0.168904836	-0.277681033
EXOSC8	0.027396682	-0.475750923
EXOSC9	0.031638814	-0.732829412
EZH2	0.038260442	-1.411487261
FAM102A	0.477242093	-0.162292957
FAM120C	0.012306173	-0.650564194
FAM208A	0.072167619	-1.252071222
FAM83B	0.35354386	-0.203166644
FAM83D	0.029941094	-0.802520752
FAM98A	0.452060819	0.143867175
FAR1	0.282975051	-0.383969466
FARP1	0.081609533	-0.518040975
FARP2	0.249778401	-0.276932716
FARSB	0.005840909	-1.096965313
FBLL1	0.916910407	-0.025295258
FBXL6	0.405796713	-0.251728058
FBXO28	0.033868726	-0.422962983
FHL2	0.015146341	-1.115274906
FKBP8	0.85205446	-0.122981866
FLYWCH1	0.021413379	-1.01319313
FNDC3B	0.02989916	-0.532989661
FOSL2	0.026205837	-1.113265991
FOXJ3	0.878104089	-0.035184542
FOXK1	0.464343188	-0.256969611
FOXK2	0.089286738	-0.495257219
FUT8	0.276847826	-0.250380675
FYTTD1	0.844888471	-0.075876077
GATAD1	0.003617391	-0.72590971
GATAD2B	0.113505051	-0.402448654
GEMIN2	0.850068641	0.031352361
GEMIN4	0.418594724	0.112910906
GEMIN5	0.023111111	-0.844584147
GGCX	0.83879641	-0.055148125
GIPC1	0.674711934	-0.096111933
GIPC2	0.257759336	-0.167059739
GLG1	0.649775234	-0.253280322
GNA11	0.019340426	-0.975481033
GNL2	0.883675926	0.036170642
GNL3	0.260591879	-0.258111636
GNL3L	0.069408341	-0.250204086
GOLGB1	0.63803663	0.240186532
GOLIM4	0.32397431	-0.272786935
GON4L	0.006422535	-1.010652224
GORASP2	0.015130435	-0.781982581
GOSR1	0.135903537	0.394577662
GPATCH4	0.872612663	0.105428537
GPATCH8	0.092308511	-0.574355443
GPR89B	0.283340955	-0.356932958
GPRC5C	0.031677852	-0.864789645
GRWD1	0.01010411	-1.064706008
GSTM3	0.003816514	-1.204964956
GTF2F1	0.003042254	-1.625088692
GTF2H1	0.015250996	-2.258834839
GTF2H2C	0.012038647	-1.494375706
GTF2H4	0.015126253	-1.909325441
GTF3C2	0.057415893	-0.524325212
GTPBP10	0.003927273	-1.517736276
GTPBP6	0.007517241	-0.416079044
GZF1	0.367043478	0.115868409
HACD2	0.038935287	-0.651845932
HBS1L	0.062910192	-0.870549838
HCFC2	0.060285132	-0.429501375
HDAC1	0.116438861	-0.279437701
HDAC3	0.863059925	-0.031025251
HDGFL2	0	-1.348449548
HDLBP	0.009422969	-1.433977922
HEATR1	0.006590308	-0.592080752
HEATR5B	0.004378947	-0.61514918
HELZ	0.014595041	-0.313982805
HERC2	0.027691852	-0.587287267
HEXIM1	0.255719054	0.396474997
HIP1	0.004031496	-1.063520432
HIP1R	0.003714286	-1.689808687
HIRA	0.548750415	-0.292398612
HIST1H2AJ	0.414250151	0.358141581
HIST1H2BL	0.416125377	-0.39362208
HLTF	0.017494585	-0.592078845
HMG20A	0.008996678	-0.68305095
HMG20B	0.651430649	-0.132303397
HMGXB4	0.090782143	-0.508811633
HMMR	0.046347924	-0.643898964
HNRNPLL	0.008804665	-1.279314359
HOMER3	0.023148936	-0.770612876
HSD17B10	0.168773188	-0.723266761
HSP90AB2P	0.596599251	-0.264497916
HSPA6	0.033340287	-0.151659648
HSPH1	0.345429293	-0.476075967
ICE1	0.065805169	-0.371361256
IFRD2	0.038982885	-1.097373009
IGFBP5	0.065639801	-0.899098078
IGHMBP2	0.065827552	-0.818365574
IK	0.078315593	-0.399978797
IMMT	0.075663516	-0.616369724
IMP3	0.974206775	-0.024834156
IMP4	0.457708625	-0.122314771
IMPDH2	0.258922123	-0.869532585
INO80	0.125006557	-0.532705784
INO80B	0.571954323	-0.229390303
INO80E	0.746367184	-0.107246717
INTS1	0.902241758	-0.021140416
INTS10	0.291488064	0.155018171
INTS11	0.140236611	0.26850001
INTS12	0.801880077	-0.072728157
INTS13	0.335484365	0.193689982
INTS2	0.253750523	-0.250844161
INTS5	0.38405182	0.15783294
INTS6	0.294620053	0.131544113
INTS7	0.787125307	-0.066688061
INTS8	0.915172101	-0.025413831
INTS9	0.790407824	0.083242893
IPMK	0.693492598	0.085028172
IPO4	0.555474725	-0.180606047
IQGAP1	0.014716667	-0.52307415
IQGAP3	0.015279352	-0.688969771
ISG20L2	0.285725333	-0.507966042
IST1	0.303279895	-0.645082156
ITM2B	0.704288325	-0.091029326
ITSN2	0.005271795	-1.299444358
IWS1	0.01232	-1.001817067
JARID2	0.041840376	-0.757025242
JUNB	0.087089109	-0.59679683
KANK2	0.032777778	-0.572589397
KAT2A	0.214585978	-0.519030889
KAT5	0.148082409	-0.401715755
KAT8	0.643868613	-0.364159266
KCTD3	0.443714959	-0.51712211
KDELR1	0.561550082	-0.231076876
KDM1A	0.028777305	-0.481286685
KDM1B	0.911071461	-0.064628124
KDM2B	0.041114046	-0.471090158
KIAA1211	0.102105983	-0.452829997
KIAA1211L	0.349947103	-0.486614386
KIAA1324	0.003681416	-0.509949207
KIAA1522	0.009040462	-0.643280824
KIAA1671	0.68985261	0.113386631
KIDINS220	0.045720183	-1.175580978
KIF14	0.817458553	-0.039050738
KIF1A	0.013526932	-1.049836159
KIF20B	0.353291536	-0.38856713
KIF22	0.095617724	-0.69100825
KIF2A	0.00894964	-1.16493384
KIF2C	0.034993614	-1.058168093
KIF4A	0.974294014	-0.012025992
KIFC1	0.005586957	-1.510286967
KLF4	0.05483667	-0.910624504
KMT2A	0.051782284	-0.350756009
KMT2B	0.039791009	-0.831973235
KMT2C	0.807967292	0.113141219
KNOP1	0.843111111	-0.062743187
KPNA1	0.993907585	-0.004605611
KPNA3	0.027128593	-0.372197469
KPNA4	0.72870529	-0.323235671
KRR1	0.080428835	-0.380299886
KTN1	0.283739597	-0.283612092
LAMA5	0.00428866	-1.489205678
LAMP2	0.073349763	-0.418121815
LAMTOR1	0.091992895	-0.246993542
LARP4B	0.009741935	-1.044784705
LARP7	0.034741688	-0.475927035
LAS1L	0.691740153	-0.084959666
LEMD3	0.989659686	0.006543001
LENG8	0.015819549	-0.493082205
LGALS3	0.041063779	-0.759606043
LGALS8	0.0280059	-0.421354612
LIN7C	0.985521225	0.004134496
LIN9	0.850945489	-0.08241574
LLPH	0.548884956	0.161614418
LMAN2L	0.063183183	-0.63108476
LONP2	0.009240924	-1.032532215
LRCH3	0.286577896	-0.227647463
LRCH4	0.835685755	-0.086417516
LRWD1	0.254172702	-0.536805312
LSG1	0.012367246	-0.546478113
LSM11	0.810716002	-0.070561091
LSM12	0.063080645	-0.692661921
LSM14A	0.059914198	-0.343201001
LSM14B	0.022945634	-0.324855487
LSM3	0.004425532	-1.387784322
LSR	0.63711472	0.07677873
LTN1	0.059815763	-0.839047591
LUZP1	0.96366948	-0.008658727
LYAR	0.046062921	-0.30205218
LZTS2	0.70915443	0.228558222
MACC1	0.067649261	-0.305915833
MACF1	0.011980769	-1.005714099
MACO1	0.594742367	0.141726017
MAGED1	0.014531868	-0.711629073
MAGOH	0.602408533	0.14214023
MAML1	0.866680374	-0.061919371
MAN1A2	0.468016194	-0.375007312
MAN1B1	0.417696096	-0.178771973
MAN2A1	0.031432432	-0.598821481
MAP3K20	0.008618868	-1.237145901
MAP4	0.008892193	-0.578984737
MAP7	0.002918919	-1.107888222
MAP7D1	0.443453796	-0.506183147
MAPKAP1	0.015220676	-0.506897926
MARCKS	0.03081931	-0.587402821
MARCKSL1	0.060061224	-1.120350043
MARK2	0.218956903	-0.26216507
MARK3	0.895515152	-0.037886779
MARS	0.567273719	-0.116551717
MAZ	0.00456051	-0.964950244
MBD1	0.344182973	-0.405723095
MBD2	0.485363897	-0.322639942
MBD3	0.308684073	-0.333479722
MBD4	0.165660141	-0.728192012
MBOAT7	0.006514286	-1.415158272
MCM5	0.422913876	-0.309865475
MCRS1	0.00787251	-0.494744619
MDC1	0.007982906	-0.873023669
MDN1	0.57188913	-0.087083499
MECP2	0.015177189	-0.90715917
MED1	0.014436681	-0.527433395
MED12	0.015532164	-0.663654486
MED13	0.041889542	-1.01030159
MED14	0.03175968	-0.443737348
MED15	0.144470963	-0.464711825
MED16	0.033383812	-0.474911054
MED23	0.00514	-0.565358798
MED24	0.105875956	-0.56763951
MED25	0.065892857	-0.40485541
MED27	0.29390879	-0.750239372
MED4	0.076405634	-0.498801549
MED6	0.535480491	-0.191948891
MED8	0	-0.768141111
MEN1	0.047259424	-0.6361262
MFF	0.629735294	0.266365051
MICALL2	0.285196787	-0.52730306
MICU1	0.019182948	-1.734180291
MICU2	0.013529954	-0.423407396
MINK1	0.015100592	-0.619337877
MIOS	0.023413681	-0.958731333
MKL2	0.521934537	-0.124760628
MLEC	0.188082129	-0.327530861
MLLT1	0.405961071	-0.162612915
MMTAG2	0.496439108	-0.144299189
MNAT1	0	-1.794603507
MORC2	0.004619355	-2.059127331
MORF4L1	0.035812658	-0.5182875
MORF4L2	0.005244898	-0.890979926
MOV10	0.014311688	-0.538959185
MPG	0	-1.990421931
MPHOSPH10	0.821458891	-0.059274991
MPHOSPH8	0.294010568	-0.173633893
MPP7	0.015281437	-1.388094425
MPRIP	0.031535762	0.865404288
MRE11	0.983835377	0.00545915
MRM3	0.124623462	-0.931191285
MRPL12	0.121211921	-0.444966793
MRPL38	0.869370629	-0.050343513
MRPL9	0.742540893	-0.145133336
MRPS18B	0.70126626	0.140629927
MRPS2	0.139644516	-0.341707389
MRPS22	0.522919346	0.202325344
MRPS23	0.643534447	-0.087545872
MRPS27	0.041236967	-0.601757209
MRPS31	0.519380441	0.096821944
MRPS34	0.558866849	0.143748283
MRPS35	0.239858257	0.450190067
MSH6	0.251277817	-0.13660574
MSL1	0.213684678	-0.244662444
MSL2	0.984115688	-0.004026254
MSL3P1	0.499635535	-0.427988052
MTA1	0.017161525	-0.637260596
MTCH2	0.027273273	-1.775733153
MT-CO2	0.003483871	-1.822954655
MTFR1	0.303756704	-0.455272039
MTHFD1	0.005976744	-1.647950172
MTPAP	0.005064039	-1.274053256
MTREX	0.011610526	-0.712300301
MYADM	0.009014925	-0.650741736
MYEF2	0.008981949	-0.819524288
MYL12A	0.096634315	0.581048012
MYLK2	0.033265359	0.539918105
MYO5A	0.964914488	0.013328075
MYOF	0.152913112	-0.332744122
N4BP3	0.083597826	0.912333488
NACA	0.007484979	-1.861824354
NAP1L1	0.272393174	-0.616278489
NBN	0.320841833	0.209061464
NBPF26	0.099219261	0.351218224
NCAPD2	0.577845489	-0.27672418
NCAPD3	0.041095694	-0.616969109
NCKAP1	0.007043478	-1.036509832
NDE1	0.096871972	-0.711046537
NDUFA10	0	-1.039635022
NDUFA13	0.031635389	-1.488725344
NDUFA8	0.273269755	-0.451672077
NDUFA9	0.054721346	-1.572617213
NDUFS1	0.0122457	-1.806661129
NDUFS2	0.03494898	-0.684916337
NDUFS3	0.222410959	-0.079453627
NDUFS7	0.006561404	-0.991220951
NEBL	0.003428571	-0.821553548
NEPRO	0.07276118	-0.289357662
NET1	0.01652844	-0.702029864
NFATC2	0.82015495	0.076499939
NFIB	0.058851852	-0.643927733
NFRKB	0.714841839	-0.200484594
NFX1	0.005439153	-0.958937804
NGDN	0.690046083	-0.212493896
NHP2	0.218867593	0.486448288
NIFK	0.357338327	-0.183605512
NIP7	0.949998205	-0.020143827
NIPBL	0.090929275	-0.394679705
NKAP	0.26871409	-0.317459583
NKRF	0.030365651	-0.76159811
NME2	0.019217082	0.732065996
NME3	0.131938611	0.208955288
NMT1	0.005538462	-1.821225166
NOC2L	0.176756923	-0.431246916
NOC3L	0.433970362	-0.184753577
NOC4L	0.71206269	-0.088004748
NOL10	0.619066526	-0.128587405
NOL11	0.022020408	-1.007260799
NOL6	0.886444753	-0.039907138
NOL7	0.554953744	-0.218498707
NOL8	0.570187364	0.188492616
NOL9	0.911643474	-0.022154172
NOM1	0.040459492	-0.309583346
NOMO1	0.043472579	-0.78787152
NONO	0.004038835	-1.257207394
NOP14	0.883450255	0.0742143
NOP16	0.741251004	-0.082833608
NOP53	0.481477312	0.178126653
NPM3	0.003724138	-0.991368612
NR1I3	0.021746575	-0.580827236
NRAS	0.119933665	-0.359046618
NRDE2	0.114728188	-0.571796735
NSA2	0.345498421	0.321980794
NSD1	0.322261093	-0.202147166
NSD2	0.133000807	-0.268322786
NSD3	0.898964253	0.03371652
NSF	0.012194373	-0.662431081
NSUN4	0.42814806	-0.590735118
NSUN5	0.0048	-1.625045935
NT5E	0.625668246	-0.085255623
NUFIP2	0.098910345	-0.319270452
NUMB	0.014571429	-0.542725881
NUMBL	0.091533393	-1.063308875
NUP37	0.073301708	-0.790208658
NUP62	0.956378741	0.010394096
NUSAP1	0.05340552	0.715508938
NXF1	0.00420202	-1.637871742
OGT	0.013432558	-0.428995132
OLA1	0.012352332	-0.822620233
ORC1	0.121017399	-0.458018144
ORC3	0.046800895	-0.59984382
ORC4	0.048970492	-0.450405757
ORC5	0.529123596	-0.203574816
OS9	0.59793369	-0.164349079
OSBPL8	0.555501373	-0.22817262
OSTC	0.048965971	-0.657549699
OTUD4	0.354598248	-0.190467834
P4HA1	0.167179969	-0.801976681
P4HB	0.060346585	-0.779366175
PA2G4	0	-3.146807194
PABPC4	0.009805195	-0.980020364
PACSIN3	0.009006897	-1.275141557
PAK1IP1	0.09344523	-1.012594859
PALM3	0.035461929	-0.417981942
PARD3	0.048805252	-0.577394485
PARD6B	0.738714932	0.127332211
PARP2	0.351250786	-0.299459457
PATJ	0.16881182	-0.500554721
PAXBP1	0.023299838	-0.764047146
PBRM1	0.019578207	-1.346012433
PBXIP1	0.00358042	-0.918671926
PCF11	0.838896878	0.03188769
PCID2	0.012251256	-0.662118594
PCNP	0.25809537	-0.484566053
PCNX3	0.015879245	-0.749685764
PDCD11	0.390341523	-0.284339269
PDCD7	0.044037253	-0.714546839
PDIA6	0.507813953	-0.244996707
PDK3	0.108524535	-1.045800686
PDLIM2	0.003737226	-1.926577886
PDS5A	0.283408999	-0.20651722
PDZK1P1	0.653195021	0.460295836
PES1	0.028217647	-0.413913727
PFKL	0.204128839	-0.268570105
PHC2	0.00803252	-0.631937186
PHC3	0.772098717	-0.250340621
PHF12	0.666100052	-0.260667483
PHF14	0.099337907	-0.631169796
PHF2	0.315022049	-0.357310931
PHF3	0.785742126	-0.100558599
PHGDH	0.070265896	-0.610390186
PHRF1	0.608329437	-0.197351138
PI4KA	0.011923445	-0.485433261
PIAS1	0.641303394	-0.109290282
PIEZO1	0.051491453	-1.119898478
PIGK	0.519342373	-0.175426165
